CustomerKey,Gender,Name,City,State,Zip Code,Country,Continent,Birthday,Age
37585,Female,Lauren Fink,YELTA,South Australia,5558,Australia,Australia,1944-04-17,80
37802,Male,Luke Byron,SOUTH DUDLEY,Victoria,3995,Australia,Australia,1990-07-09,34
37991,Male,Cooper Gillison,CARWELL,New South Wales,2849,Australia,Australia,1937-01-06,87
38006,Male,Lachlan Postle,DYRAABA,New South Wales,2470,Australia,Australia,1955-10-29,68
38036,Female,Kiara Schaw,UPPER YARRAMAN,Queensland,4614,Australia,Australia,1960-07-26,64
38183,Male,Hunter Montagu,NEW ITALY,New South Wales,2472,Australia,Australia,1944-07-30,80
38195,Female,Sara Roe,PAYNEDALE,Western Australia,6239,Australia,Australia,1972-11-22,51
38212,Female,Stella Cain,WOOROONOOK,Victoria,3525,Australia,Australia,1985-01-28,39
38558,Female,Audrey Bold,BOSTOBRICK,New South Wales,2453,Australia,Australia,1946-05-19,78
38613,Male,Hamish Mason,Tacoma,New South Wales,2259,Australia,Australia,1988-03-16,36
38865,Male,Christopher Edmund,WINDORAH,Queensland,4481,Australia,Australia,1948-08-17,75
38950,Female,Hannah Edmond,ARTHUR RIVER,Tasmania,7330,Australia,Australia,1954-12-08,69
39183,Male,Julian Gutteridge,KURMOND,New South Wales,2757,Australia,Australia,1973-04-25,51
39246,Male,Darcy Falconer,MANDALAY,Queensland,4802,Australia,Australia,1974-10-20,49
39268,Female,Madeleine Marx,KALLANGUR,Queensland,4503,Australia,Australia,1975-07-24,49
39314,Male,Leo Ligar,LIGHT PASS,South Australia,5355,Australia,Australia,1985-04-20,39
39498,Female,Amy Curtain,SWANBROOK,New South Wales,2360,Australia,Australia,1996-08-13,28
39582,Male,Mason Therry,RISDON,Tasmania,7017,Australia,Australia,1974-03-15,50
39592,Female,Alicia Muntz,SOUTH SPRINGFIELD,Tasmania,7260,Australia,Australia,1965-04-20,59
39894,Female,Samantha Begg,JUNEE,New South Wales,2663,Australia,Australia,1941-02-26,83
39927,Male,Bailey Barnet,SORELL,Tasmania,7172,Australia,Australia,1984-05-15,40
39996,Male,Harry Dawes,BENDOURA,New South Wales,2622,Australia,Australia,2001-05-09,23
40052,Female,Isabel Dettmann,WAVERTON,New South Wales,2060,Australia,Australia,1957-09-06,66
40221,Male,Jonathan Hammond,PARA HILLS WEST,South Australia,5096,Australia,Australia,2001-11-01,22
40327,Female,Madeleine Laing,PIALLIGO,Australian Capital Territory,2609,Australia,Australia,1940-08-23,83
40363,Female,Alyssa Henslowe,DOUBLE BAY,New South Wales,2028,Australia,Australia,1984-07-08,40
40443,Female,Amber Normanby,CARSS PARK,New South Wales,2221,Australia,Australia,1938-04-13,86
40649,Male,Kai De Vis,KANGIARA,New South Wales,2582,Australia,Australia,1972-11-29,51
40662,Male,Oliver Michie,MOUNT HICKS,Tasmania,7325,Australia,Australia,1960-12-18,63
40669,Male,Cody Wheare,MARTINS CREEK,New South Wales,2420,Australia,Australia,1968-09-22,55
40741,Male,Leo Bussau,HARLAXTON,Queensland,4350,Australia,Australia,1937-06-13,87
41281,Male,Lincoln D'Albertis,FITZGERALDS MOUNT,New South Wales,2799,Australia,Australia,1945-10-27,78
41386,Female,Stephanie Grant,SEAL BAY,South Australia,5223,Australia,Australia,1948-06-20,76
41570,Male,Rory Brough,East Point,Northern Territory,820,Australia,Australia,1937-08-15,87
41674,Male,Jonathan Hodges,NORTH LAKE GRACE,Western Australia,6353,Australia,Australia,1938-03-04,86
41707,Male,Joseph Wheeler,YALLAH,New South Wales,2530,Australia,Australia,1957-04-19,67
